Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2023-04-17,MFP iOS calorie adjustment,Cardio,70.0,1,,,,5988,
2023-04-18,MFP iOS calorie adjustment,Cardio,84.0,1,,,,7611,
2023-04-19,MFP iOS calorie adjustment,Cardio,190.0,1,,,,14887,
2023-04-20,MFP iOS calorie adjustment,Cardio,176.0,1,,,,13254,
2023-04-21,MFP iOS calorie adjustment,Cardio,66.0,1,,,,7100,
2023-04-22,MFP iOS calorie adjustment,Cardio,38.0,1,,,,7688,
2023-04-23,MFP iOS calorie adjustment,Cardio,55.0,1,,,,5531,
2023-04-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,81,
2023-04-25,MFP iOS calorie adjustment,Cardio,100.0,1,,,,9419,
2023-04-26,MFP iOS calorie adjustment,Cardio,214.0,1,,,,15884,
2023-04-27,MFP iOS calorie adjustment,Cardio,150.0,1,,,,10608,
2023-04-28,MFP iOS calorie adjustment,Cardio,63.0,1,,,,5389,
2023-04-29,MFP iOS calorie adjustment,Cardio,95.0,1,,,,10817,
2023-04-30,MFP iOS calorie adjustment,Cardio,67.0,1,,,,8549,
2023-05-01,MFP iOS calorie adjustment,Cardio,31.0,1,,,,8612,
2023-05-02,MFP iOS calorie adjustment,Cardio,110.0,1,,,,11987,
2023-05-03,MFP iOS calorie adjustment,Cardio,169.0,1,,,,13479,
2023-05-04,MFP iOS calorie adjustment,Cardio,187.0,1,,,,13420,
2023-05-05,MFP iOS calorie adjustment,Cardio,67.0,1,,,,7359,
2023-05-06,MFP iOS calorie adjustment,Cardio,4.0,1,,,,4515,
2023-05-07,MFP iOS calorie adjustment,Cardio,0.0,1,,,,3706,
2023-05-08,MFP iOS calorie adjustment,Cardio,35.0,1,,,,5389,
2023-05-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1712,
2023-05-10,MFP iOS calorie adjustment,Cardio,171.0,1,,,,14034,
2023-05-11,MFP iOS calorie adjustment,Cardio,115.0,1,,,,9639,
2023-05-12,MFP iOS calorie adjustment,Cardio,49.0,1,,,,7138,
2023-05-13,MFP iOS calorie adjustment,Cardio,34.0,1,,,,8881,
2023-05-14,MFP iOS calorie adjustment,Cardio,18.0,1,,,,8446,
2023-05-15,MFP iOS calorie adjustment,Cardio,205.0,1,,,,14903,
2023-05-16,MFP iOS calorie adjustment,Cardio,24.0,1,,,,9900,
2023-05-16,"Walking, 2.0 mph, slow pace",Cardio,103.6,31,,,,,
2023-05-17,MFP iOS calorie adjustment,Cardio,72.0,1,,,,4296,
