date,weight_kg,fat_percent,sleep_minutes,steps,protein_grams,fat_grams,carbs_grams,,,sleep_start_24h,sleep_end_24,daily_sleep_mins,,hours_lifting
29/03/2023,69.2,0.146,369,6532,,,,,,,,,,
30/03/2023,69.1,0.146,371,15147,,,,,,,,,,
31/03/2023,69.5,0.148,360,7268,,,,,,,,,,
01/04/2023,69.4,0.148,407,7759,,,,,,,,,,
02/04/2023,69.2,0.146,395,13182,,,,,,,,,,
03/04/2023,69.2,0.146,477,13754,,,,,,,,,,
04/04/2023,,,454,14043,,,,,,,,,,
05/04/2023,,,493,15450,,,,,,,,,,
06/04/2023,,,501,8230,,,,,,,,,,
07/04/2023,,,479,7148,,,,,,,,,,
08/04/2023,,,456,14231,,,,,,,,,,
09/04/2023,69.9,0.149,420,8843,,,,,,,,,,
10/04/2023,68.8,0.145,423,14542,,,,,,,,,,
11/04/2023,68.7,,469,6772,,,,,,,,,,
12/04/2023,68.2,0.142,504,98,,,,,,,,,,
13/04/2023,68.5,0.144,494,2298,,,,,,,,,,
14/04/2023,68.4,0.142,471,13125,,,,,,,,,,
15/04/2023,,,,,,,,,,,,,,
16/04/2023,,,,,,,,,,,,,,
17/04/2023,,,,,,,,,,,,,,
18/04/2023,,,,,,,,,,,,,,
19/04/2023,,,,,,,,,,,,,,
20/04/2023,,,,,,,,,,,,,,
21/04/2023,,,,,,,,,,,,,,
22/04/2023,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
