Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-03-05,Breakfast,8:05 AM,440.1,15.5,6.5,1.8,4.4,0.0,332.1,1634.7,281.0,33.9,8.0,10.2,41.4,0.0,0.0,5.7,8.7,
2023-03-06,Breakfast,7:45 AM,168.0,0.7,0.1,0.0,0.0,0.0,0.0,511.0,0.0,32.1,8.0,8.9,10.0,0.0,0.0,0.0,0.0,
2023-03-06,Breakfast,8:00 AM,165.6,13.0,5.8,1.8,4.4,0.0,332.1,259.4,119.6,0.6,0.0,0.3,10.8,0.0,0.0,5.0,8.3,
2023-03-06,Breakfast,8:00 PM,177.5,8.9,0.6,0.0,0.0,0.0,0.0,126.8,494.5,20.3,2.5,8.9,3.8,25.4,0.0,31.7,2.5,
2023-03-06,Dinner,3:20 PM,533.0,25.7,3.2,0.0,0.0,1.0,0.0,315.0,170.0,27.3,3.4,0.2,14.7,0.0,6.0,0.0,0.0,
2023-03-06,Snacks,11:25 AM,188.0,6.3,4.0,0.0,0.0,0.0,0.0,790.0,0.0,7.6,0.0,6.9,25.0,0.0,0.0,0.0,0.0,
2023-03-06,Snacks,8:15 PM,563.7,7.8,4.3,0.0,0.0,0.0,0.0,511.0,0.0,62.6,13.6,38.7,59.9,0.0,0.0,0.0,0.0,
2023-03-07,Breakfast,7:45 AM,256.7,10.9,6.6,0.0,0.0,0.0,0.0,0.1,0.0,26.3,2.3,11.6,11.0,0.0,0.0,36.0,0.0,
2023-03-07,Breakfast,7:50 AM,159.4,2.4,1.6,0.0,0.0,0.0,0.0,0.6,0.0,2.8,3.0,2.0,30.4,0.0,0.0,22.8,0.0,
2023-03-07,Breakfast,7:55 AM,54.5,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,10.4,0.0,4.5,0.0,0.0,0.0,0.0,
2023-03-07,Breakfast,8:00 AM,6.1,0.6,0.1,0.0,0.0,0.0,0.0,0.6,5.6,1.8,1.3,0.0,0.1,0.1,1.1,2.8,4.8,
2023-03-07,Lunch,3:45 PM,457.6,13.1,8.8,0.0,0.0,0.0,0.0,0.1,0.0,32.4,5.5,31.9,48.8,0.0,0.0,39.0,0.0,
2023-03-07,Dinner,5:45 PM,316.8,10.6,3.0,0.0,0.0,0.0,0.0,694.4,554.2,4.4,0.0,2.4,49.0,12.0,0.0,6.4,1.6,
2023-03-07,Snacks,4:40 PM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,26.0,4.0,18.0,2.0,12.0,90.0,8.0,0.0,
2023-03-07,Snacks,6:25 PM,281.1,5.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,26.7,5.4,26.3,29.8,0.0,0.0,0.0,0.0,
2023-03-08,Breakfast,10:35 AM,552.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,0.0,26.9,0.0,0.0,0.0,0.0,
2023-03-08,Breakfast,6:25 PM,177.5,8.9,0.6,0.0,0.0,0.0,0.0,126.8,494.5,20.3,2.5,8.9,3.8,25.4,0.0,31.7,2.5,
2023-03-08,Lunch,6:25 PM,460.0,11.0,1.5,0.0,0.0,0.0,0.0,710.0,0.0,79.0,17.0,11.0,19.0,0.0,150.0,40.0,25.0,
2023-03-08,Snacks,8:00 AM,319.0,3.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,25.9,6.5,25.3,42.8,0.0,0.0,0.0,0.0,
2023-03-09,Breakfast,,84.7,0.2,0.1,0.0,0.0,0.0,0.0,266.2,0.0,11.9,0.0,11.9,8.7,0.0,0.0,38.7,0.0,
2023-03-09,Breakfast,8:00 AM,115.9,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,18.6,2.8,0.3,3.4,0.0,0.0,0.0,0.0,
2023-03-09,Breakfast,8:05 AM,166.9,2.7,1.4,0.0,0.0,0.0,0.0,0.5,0.0,3.6,10.2,1.6,27.4,0.0,0.0,18.0,0.0,
2023-03-09,Breakfast,3:45 PM,133.1,6.7,0.5,0.0,0.0,0.0,0.0,95.1,370.9,15.2,1.9,6.7,2.9,19.0,0.0,23.8,1.9,
2023-03-09,Dinner,3:45 PM,61.5,0.4,0.0,0.2,0.0,0.0,0.0,103.5,480.0,14.4,4.2,7.1,1.4,1670.6,14.7,4.9,2.5,
